X1 transaction date_1_1,X1 transaction date_2_1,X1 transaction date_3_1,X2 house age_1_1,X2 house age_2_1,X2 house age_3_1,X3 distance to the nearest MRT station_1_1,X3 distance to the nearest MRT station_2_1,X3 distance to the nearest MRT station_3_1,X4 number of convenience stores_1_1,X4 number of convenience stores_2_1,X4 number of convenience stores_3_1,X5 latitude_1_1,X5 latitude_2_1,X5 latitude_3_1,X6 longitude_1_1,X6 longitude_2_1,X6 longitude_3_1,Y house price of unit area
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,46.4
yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,12.2
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,13.0
no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,30.6
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,48.0
no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,45.5
yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,57.4
no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,48.6
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,62.9
no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,55.0
no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,41.0
no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,37.5
no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,30.7
no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,37.5
no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,47.4
no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,43.5
no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,42.5
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,51.4
no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,28.9
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,37.5
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,40.1
yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,28.4
yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,45.5
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,52.2
no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,43.2
no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,45.1
no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,39.7
no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,48.5
no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,28.9
no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,15.6
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,35.6
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,39.4
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,37.4
yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,57.8
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,39.6
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,11.6
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,55.2
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,30.6
no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,73.6
no,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,43.4
yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,37.4
no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,23.5
yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,58.8
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,58.1
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,35.1
no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,45.2
yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,36.5
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,19.2
yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,42.0
no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,55.9
no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,18.8
no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,25.7
yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,22.0
yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,44.3
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,20.5
no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,42.3
no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,37.8
no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,42.7
no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,49.3
no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,34.6
yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,36.6
no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,48.2
yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,39.1
no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,31.6
no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,25.5
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,45.9
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,31.5
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,46.1
yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,26.6
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,21.4
no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,44.0
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,34.2
no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,26.2
no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,40.9
no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,52.2
yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,43.5
no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,31.1
yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,58.0
no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,20.9
no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,48.1
no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,39.7
yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,40.8
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,43.8
no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,40.2
no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,78.3
no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,38.5
no,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,48.5
no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,46.0
no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,49.0
no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,46.6
no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,19.0
no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,33.4
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,14.7
yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,17.4
no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,32.4
no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,61.9
no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,39.0
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,40.6
no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,29.7
yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,28.8
no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,33.4
no,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,48.2
yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,21.7
no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,40.8
no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,40.6
no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,23.1
yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,22.3
no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,15.0
no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,30.0
yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,13.8
no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,52.7
no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,51.8
no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,17.4
no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,26.5
no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,43.9
no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,24.4
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,53.0
no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,31.7
no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,40.6
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,38.1
no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,23.7
no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,41.1
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,40.1
yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,23.0
yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,26.5
no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,29.3
no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,41.0
no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,49.7
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,34.0
no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,27.7
no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,44.0
no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,31.1
no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,45.4
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,25.6
no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,23.5
yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,34.4
no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,55.3
yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,56.3
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,32.9
no,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,51.0
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,44.5
yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,37.0
no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,54.4
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,24.5
no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,42.5
no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,38.1
no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,21.8
no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,28.5
no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,16.7
no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,46.1
yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,36.9
no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,23.2
no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,38.4
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,29.4
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,55.0
no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,50.2
no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,24.7
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,53.0
no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,19.1
no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,24.7
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,42.2
no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,78.0
no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,42.8
yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,27.3
no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,37.5
no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,26.9
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,18.6
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,37.7
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,33.1
no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,42.5
no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,31.3
yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,38.1
no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,23.6
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,19.2
yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,12.8
no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,38.4
yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,22.8
no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,36.5
no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,35.6
no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,30.9
yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,36.3
no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,50.4
no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,42.9
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,37.0
yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,46.6
no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,41.2
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,37.9
no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,30.8
no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,11.2
no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,53.7
no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,47.0
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,42.3
no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,28.6
no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,25.7
no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,30.1
no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,60.7
no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,45.3
no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,44.9
no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,45.1
no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,24.7
no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,47.1
yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,63.3
no,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,48.0
no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,33.1
no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,24.8
no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,20.9
no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,43.1
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,42.1
no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,51.7
yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,52.2
no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,23.8
no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,37.4
no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,69.7
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,47.3
