Iy_1,PF_1,e_1,dIf_1,If
0,0,1,0,1.5290000000000001
0,0,1,0,1.465
0,0,1,0,1.476
0,0,1,0,1.486
0,0,1,0,1.396
0,1,0,0,1.405
0,1,0,0,1.3219999999999998
0,1,0,0,1.331
0,1,0,0,1.34
0,1,0,0,1.225
0,1,0,0,1.232
0,1,0,0,1.236
0,1,0,0,1.236
0,1,0,0,1.236
0,0,1,1,1.6369999999999998
0,0,1,1,1.656
0,1,0,0,1.2919999999999998
0,1,0,0,1.296
0,1,0,0,1.2990000000000002
0,1,0,0,1.2990000000000002
0,1,0,0,1.2990000000000002
0,1,0,0,1.3030000000000002
0,1,0,0,1.311
0,1,0,0,1.32
0,1,0,0,1.32
0,1,0,0,1.32
0,1,0,0,1.32
0,1,0,0,1.3259999999999998
0,1,0,0,1.3419999999999999
0,1,0,0,1.3419999999999999
0,1,0,0,1.3419999999999999
0,1,0,0,1.38
0,1,0,0,1.39
0,1,0,0,1.39
0,1,0,0,1.4
0,1,0,0,1.401
0,1,0,0,1.402
0,1,0,0,1.415
0,1,0,0,1.421
0,1,0,0,1.4409999999999998
0,0,1,0,1.4669999999999999
0,0,1,0,1.475
0,1,0,0,1.479
0,0,1,0,1.4869999999999999
0,1,0,0,1.4909999999999999
0,1,0,0,1.5019999999999998
0,0,1,0,1.525
0,0,1,0,1.5330000000000001
0,0,1,0,1.541
0,0,1,0,1.541
0,0,1,0,1.547
0,0,1,0,1.557
0,0,1,0,1.5630000000000002
0,0,1,0,1.575
0,0,1,1,1.5859999999999999
0,0,1,1,1.5919999999999999
0,0,1,1,1.599
0,0,1,1,1.607
0,0,1,1,1.607
0,0,1,1,1.6159999999999999
0,0,1,1,1.624
0,0,1,1,1.625
0,0,1,1,1.629
0,0,1,1,1.633
0,0,1,1,1.642
0,0,1,1,1.646
0,0,1,1,1.65
0,0,1,1,1.666
0,0,1,1,1.672
0,0,1,1,1.679
0,0,1,1,1.685
0,0,1,0,1.5819999999999999
0,0,1,1,1.598
0,0,1,0,1.517
0,0,1,0,1.5330000000000001
0,0,1,0,1.5519999999999998
0,0,1,0,1.454
0,1,0,0,1.4680000000000002
0,1,0,0,1.244
0,1,0,0,1.252
0,1,0,0,1.256
0,1,0,0,1.256
0,1,0,0,1.256
0,1,0,0,1.275
0,1,0,0,1.2770000000000001
0,1,0,0,1.2770000000000001
0,1,0,0,1.2770000000000001
0,1,0,0,1.28
0,1,0,0,1.3419999999999999
0,1,0,0,1.345
0,1,0,0,1.348
0,1,0,0,1.354
0,1,0,0,1.3630000000000002
0,1,0,0,1.364
0,1,0,0,1.364
0,1,0,0,1.364
0,1,0,0,1.37
0,1,0,0,1.3769999999999998
0,1,0,0,1.382
0,0,1,0,1.43
0,1,0,0,1.443
0,1,0,0,1.45
0,1,0,0,1.4580000000000002
0,1,0,0,1.4880000000000002
0,0,1,0,1.4969999999999999
0,0,1,0,1.518
0,0,1,0,1.54
0,0,1,0,1.541
0,1,0,0,1.558
0,0,1,0,1.5630000000000002
0,0,1,1,1.5859999999999999
0,0,1,1,1.598
0,0,1,1,1.61
0,0,1,1,1.6159999999999999
0,0,1,1,1.635
0,0,1,1,1.6469999999999998
0,0,1,1,1.659
0,0,1,1,1.669
0,0,1,1,1.6880000000000002
0,0,1,1,1.6969999999999998
0,0,1,1,1.702
0,0,1,1,1.714
0,0,1,1,1.7209999999999999
0,0,1,1,1.7519999999999998
0,1,0,0,1.3130000000000002
0,1,0,0,1.317
0,1,0,0,1.32
0,1,0,0,1.32
0,1,0,0,1.32
0,1,0,0,1.325
0,1,0,0,1.3330000000000002
0,1,0,0,1.3419999999999999
0,1,0,0,1.3419999999999999
0,1,0,0,1.3419999999999999
0,1,0,0,1.415
0,1,0,0,1.426
0,1,0,0,1.429
0,1,0,0,1.4369999999999998
0,1,0,0,1.44
0,1,0,0,1.462
0,0,1,0,1.52
0,0,1,0,1.5290000000000001
0,1,0,0,1.534
0,1,0,0,1.546
0,0,1,0,1.5819999999999999
0,0,1,1,1.59
0,0,1,1,1.599
0,0,1,1,1.605
0,0,1,1,1.6219999999999999
0,0,1,1,1.635
0,0,1,1,1.653
0,0,1,1,1.66
0,0,1,1,1.669
0,0,1,1,1.679
0,0,1,1,1.692
0,0,1,1,1.7109999999999999
0,0,1,1,1.739
0,0,1,1,1.745
0,0,1,1,1.6869999999999998
0,0,1,1,1.706
0,0,1,1,1.732
0,0,1,1,1.642
0,0,1,1,1.66
0,0,1,0,1.574
0,0,1,1,1.59
0,0,1,1,1.61
0,0,1,0,1.506
0,1,0,0,1.521
0,1,0,0,1.402
0,1,0,0,1.4080000000000001
0,1,0,0,1.411
0,1,0,0,1.296
0,1,0,0,1.301
0,1,0,0,1.298
0,1,0,0,1.298
0,1,0,0,1.298
0,0,1,1,1.672
0,0,1,1,1.699
0,0,1,1,1.725
0,0,1,1,1.6219999999999999
0,0,1,1,1.6469999999999998
0,0,1,0,1.5519999999999998
0,0,1,0,1.575
0,0,1,1,1.598
0,0,1,0,1.4809999999999999
0,1,0,0,1.5019999999999998
0,1,0,0,1.368
0,1,0,0,1.3769999999999998
0,1,0,0,1.386
0,1,0,0,1.264
0,1,0,0,1.272
0,1,0,0,1.276
0,1,0,0,1.276
0,1,0,0,1.276
1,0,1,1,1.77
1,0,1,1,1.79
1,0,1,1,1.824
1,0,1,1,1.736
1,0,1,1,1.756
1,0,1,1,1.655
1,0,1,1,1.6740000000000002
1,0,1,1,1.706
1,0,1,1,1.5859999999999999
1,1,0,1,1.595
1,1,0,0,1.4880000000000002
1,1,0,0,1.496
1,1,0,0,1.361
1,1,0,0,1.368
1,1,0,0,1.3869999999999998
1,1,0,0,1.3869999999999998
1,1,0,0,1.3869999999999998
1,0,1,1,1.788
1,0,1,1,1.775
1,0,1,1,1.795
1,0,1,1,1.716
1,0,1,1,1.734
1,0,1,1,1.767
1,0,1,1,1.653
1,0,1,1,1.67
1,0,1,0,1.57
1,1,0,0,1.5759999999999998
1,1,0,1,1.5930000000000002
1,1,0,0,1.4680000000000002
1,1,0,0,1.4769999999999999
1,1,0,0,1.345
1,1,0,0,1.35
1,1,0,0,1.365
1,1,0,0,1.365
1,1,0,0,1.365
1,0,1,1,1.8019999999999998
1,0,1,1,1.7719999999999998
1,0,1,1,1.79
1,0,1,1,1.7069999999999999
1,0,1,1,1.726
1,0,1,1,1.7530000000000001
1,0,1,1,1.646
1,0,1,1,1.656
1,0,1,0,1.558
1,1,0,0,1.5659999999999998
1,1,0,0,1.575
1,1,0,0,1.454
1,1,0,0,1.4580000000000002
1,1,0,0,1.33
1,1,0,0,1.337
1,1,0,0,1.3419999999999999
1,1,0,0,1.3419999999999999
1,1,0,0,1.3419999999999999
1,0,1,1,1.817
1,0,1,1,1.765
1,0,1,1,1.785
1,0,1,1,1.6969999999999998
1,0,1,1,1.716
1,0,1,1,1.739
1,0,1,1,1.633
1,0,1,1,1.642
1,0,1,0,1.545
1,1,0,0,1.5530000000000002
1,1,0,0,1.558
1,1,0,0,1.433
1,1,0,0,1.44
1,1,0,0,1.314
1,1,0,0,1.32
1,1,0,0,1.32
1,1,0,0,1.32
1,1,0,0,1.32
1,0,1,1,1.831
1,0,1,1,1.7530000000000001
1,0,1,1,1.781
1,0,1,1,1.672
1,0,1,1,1.699
1,0,1,1,1.725
1,0,1,1,1.61
1,0,1,1,1.6219999999999999
1,0,1,0,1.518
1,1,0,0,1.5290000000000001
1,1,0,0,1.54
1,1,0,0,1.396
1,1,0,0,1.405
1,1,0,0,1.28
1,1,0,0,1.2890000000000001
1,1,0,0,1.297
1,1,0,0,1.297
1,1,0,0,1.297
1,0,1,1,1.8459999999999999
1,0,1,1,1.848
1,0,1,1,1.87
1,0,1,1,1.785
1,0,1,1,1.795
1,0,1,1,1.817
1,0,1,1,1.716
1,0,1,1,1.726
1,0,1,1,1.6159999999999999
1,1,0,1,1.6340000000000001
1,1,0,1,1.6669999999999998
1,1,0,0,1.518
1,1,0,0,1.527
1,1,0,0,1.3880000000000001
1,1,0,0,1.402
1,1,0,0,1.432
1,1,0,0,1.432
1,1,0,0,1.432
1,0,1,1,1.8619999999999999
1,0,1,1,1.84
1,0,1,1,1.859
1,0,1,1,1.775
1,0,1,1,1.7830000000000001
1,0,1,1,1.8019999999999998
1,0,1,1,1.704
1,0,1,1,1.716
1,0,1,1,1.604
1,1,0,1,1.617
1,1,0,1,1.643
1,1,0,0,1.5
1,1,0,0,1.511
1,1,0,0,1.3719999999999999
1,1,0,0,1.381
1,1,0,0,1.403
1,1,0,0,1.403
1,1,0,0,1.403
1,0,1,1,1.8769999999999998
1,0,1,1,1.8359999999999999
1,0,1,1,1.848
1,0,1,1,1.765
1,0,1,1,1.775
1,0,1,1,1.788
1,0,1,1,1.693
1,0,1,1,1.7069999999999999
1,0,1,1,1.591
1,1,0,1,1.6030000000000002
1,1,0,1,1.618
1,1,0,0,1.485
1,1,0,0,1.495
1,1,0,0,1.3559999999999999
1,1,0,0,1.365
1,1,0,0,1.375
1,1,0,0,1.375
1,1,0,0,1.375
1,0,1,1,1.893
1,0,1,1,1.827
1,0,1,1,1.837
1,0,1,1,1.755
1,0,1,1,1.765
1,0,1,1,1.7730000000000001
1,0,1,1,1.679
1,0,1,1,1.6969999999999998
1,0,1,0,1.578
1,1,0,1,1.587
1,1,0,1,1.594
1,1,0,0,1.466
1,1,0,0,1.48
1,1,0,0,1.339
1,1,0,0,1.345
1,1,0,0,1.3459999999999999
1,1,0,0,1.3459999999999999
1,1,0,0,1.3459999999999999
1,0,1,1,1.9080000000000001
1,0,1,1,1.8090000000000002
1,0,1,1,1.824
1,0,1,1,1.732
1,0,1,1,1.745
1,0,1,1,1.7590000000000001
1,0,1,1,1.6540000000000001
1,0,1,1,1.679
1,0,1,0,1.546
1,1,0,0,1.557
1,1,0,0,1.569
1,1,0,0,1.43
1,1,0,0,1.45
1,1,0,0,1.301
1,1,0,0,1.31
1,1,0,0,1.318
1,1,0,0,1.318
1,1,0,0,1.318
1,0,1,1,1.916
1,0,1,1,1.909
1,0,1,1,1.92
1,0,1,1,1.8319999999999999
1,0,1,1,1.854
1,0,1,1,1.893
1,0,1,1,1.765
1,0,1,1,1.786
1,0,1,1,1.67
1,1,0,1,1.679
1,1,0,1,1.706
1,1,0,0,1.558
1,1,0,0,1.575
1,1,0,0,1.426
1,1,0,0,1.4340000000000002
1,1,0,0,1.4569999999999999
1,1,0,0,1.4569999999999999
1,1,0,0,1.4569999999999999
1,0,1,1,1.9240000000000002
1,0,1,1,1.9
1,0,1,1,1.915
1,0,1,1,1.821
1,0,1,1,1.841
1,0,1,1,1.8769999999999998
1,0,1,1,1.7530000000000001
1,0,1,1,1.771
1,0,1,1,1.652
1,1,0,1,1.661
1,1,0,1,1.686
1,1,0,0,1.5390000000000001
1,1,0,0,1.555
1,1,0,0,1.406
1,1,0,0,1.41
1,1,0,0,1.4280000000000002
1,1,0,0,1.4280000000000002
1,1,0,0,1.4280000000000002
1,0,1,1,1.933
1,0,1,1,1.891
1,0,1,1,1.909
1,0,1,1,1.811
1,0,1,1,1.8319999999999999
1,0,1,1,1.8619999999999999
1,0,1,1,1.745
1,0,1,1,1.755
1,0,1,1,1.635
1,1,0,1,1.651
1,1,0,1,1.6669999999999998
1,1,0,0,1.527
1,1,0,0,1.535
1,1,0,0,1.386
1,1,0,0,1.3940000000000001
1,1,0,0,1.3980000000000001
1,1,0,0,1.3980000000000001
1,1,0,0,1.3980000000000001
1,0,1,1,1.9409999999999998
1,0,1,1,1.881
1,0,1,1,1.903
1,0,1,1,1.801
1,0,1,1,1.821
1,0,1,1,1.8459999999999999
1,0,1,1,1.7309999999999999
1,0,1,1,1.74
1,0,1,1,1.617
1,1,0,1,1.6340000000000001
1,1,0,1,1.6469999999999998
1,1,0,0,1.507
1,1,0,0,1.514
1,1,0,0,1.365
1,1,0,0,1.3719999999999999
1,1,0,0,1.369
1,1,0,0,1.369
1,1,0,0,1.369
1,0,1,1,1.949
1,0,1,1,1.8619999999999999
1,0,1,1,1.893
1,0,1,1,1.7730000000000001
1,0,1,1,1.8019999999999998
1,0,1,1,1.831
1,0,1,1,1.705
1,0,1,1,1.7180000000000002
1,0,1,0,1.581
1,1,0,1,1.604
1,1,0,1,1.6280000000000001
1,1,0,0,1.47
1,1,0,0,1.4809999999999999
1,1,0,0,1.3219999999999998
1,1,0,0,1.331
1,1,0,0,1.34
1,1,0,0,1.34
1,1,0,0,1.34
