,Iy_1,Iy_2,Iy_3,PF_1,PF_2,PF_3,e_1,e_2,e_3,dIf_1,dIf_2,dIf_3,If
72,0,0,0,0,0,0,0,0,1,1,0,0,1.565
73,0,0,0,0,0,0,0,0,1,1,0,0,1.5819999999999999
74,0,0,0,0,0,0,0,0,1,0,1,0,1.604
75,0,0,0,0,0,0,0,0,1,1,0,0,1.525
76,0,0,0,1,0,0,0,1,0,1,0,0,1.541
77,0,0,0,1,0,0,0,1,0,1,0,0,1.479
78,0,0,0,1,0,0,0,1,0,1,0,0,1.486
79,0,0,0,1,0,0,0,1,0,1,0,0,1.4969999999999999
80,0,0,0,1,0,0,0,1,0,1,0,0,1.4180000000000001
81,0,0,0,0,1,0,1,0,0,1,0,0,1.425
82,0,0,0,0,1,0,1,0,0,0,0,0,1.344
83,0,0,0,0,1,0,1,0,0,0,0,0,1.35
84,0,0,0,0,1,0,1,0,0,0,0,0,1.354
85,0,0,0,0,0,1,0,0,0,0,0,0,1.254
86,0,0,0,0,0,1,0,0,0,0,0,0,1.26
87,0,0,0,0,0,1,0,0,0,0,0,0,1.2570000000000001
88,0,0,0,0,0,1,0,0,0,0,0,0,1.2570000000000001
89,0,0,0,0,0,1,0,0,0,0,0,0,1.2570000000000001
90,0,0,0,0,0,0,0,0,1,1,0,0,1.5519999999999998
91,0,0,0,0,0,0,0,0,1,1,0,0,1.575
92,0,0,0,0,0,0,0,0,1,0,1,0,1.598
93,0,0,0,0,0,0,0,0,1,1,0,0,1.508
94,0,0,0,1,0,0,0,1,0,1,0,0,1.5290000000000001
95,0,0,0,1,0,0,0,1,0,1,0,0,1.465
96,0,0,0,1,0,0,0,1,0,1,0,0,1.476
97,0,0,0,1,0,0,0,1,0,1,0,0,1.486
98,0,0,0,1,0,0,0,1,0,0,0,0,1.396
99,0,0,0,0,1,0,1,0,0,1,0,0,1.405
100,0,0,0,0,1,0,1,0,0,0,0,0,1.3219999999999998
101,0,0,0,0,1,0,1,0,0,0,0,0,1.331
102,0,0,0,0,1,0,1,0,0,0,0,0,1.34
103,0,0,0,0,0,1,0,0,0,0,0,0,1.225
104,0,0,0,0,0,1,0,0,0,0,0,0,1.232
105,0,0,0,0,0,1,0,0,0,0,0,0,1.236
106,0,0,0,0,0,1,0,0,0,0,0,0,1.236
107,0,0,0,0,0,1,0,0,0,0,0,0,1.236
108,0,0,0,0,0,0,0,0,1,0,1,0,1.6369999999999998
109,0,0,0,0,0,0,0,0,1,0,1,0,1.656
110,1,0,0,0,0,1,0,0,0,0,0,0,1.2919999999999998
111,1,0,0,0,0,1,0,0,0,0,0,0,1.296
112,1,0,0,0,0,1,0,0,0,0,0,0,1.2990000000000002
113,1,0,0,0,0,1,0,0,0,0,0,0,1.2990000000000002
114,1,0,0,0,0,1,0,0,0,0,0,0,1.2990000000000002
115,0,0,0,0,0,1,0,0,0,0,0,0,1.3030000000000002
116,0,0,0,0,0,1,0,0,0,0,0,0,1.311
117,0,0,0,0,0,1,0,0,0,0,0,0,1.32
118,0,0,0,0,0,1,0,0,0,0,0,0,1.32
119,0,0,0,0,0,1,0,0,0,0,0,0,1.32
120,0,0,0,0,0,1,0,0,0,0,0,0,1.32
121,0,0,0,0,0,1,0,0,0,0,0,0,1.3259999999999998
122,0,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
123,0,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
124,0,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
125,1,0,0,0,1,0,1,0,0,0,0,0,1.38
126,0,0,0,0,1,0,1,0,0,0,0,0,1.39
127,1,0,0,0,1,0,1,0,0,0,0,0,1.39
128,0,0,0,0,1,0,1,0,0,0,0,0,1.4
129,0,0,0,0,1,0,1,0,0,1,0,0,1.401
130,1,0,0,0,1,0,1,0,0,1,0,0,1.402
131,0,0,0,0,1,0,1,0,0,1,0,0,1.415
132,0,0,0,0,1,0,1,0,0,1,0,0,1.421
133,0,0,0,0,1,0,1,0,0,1,0,0,1.4409999999999998
134,1,0,0,1,0,0,0,1,0,1,0,0,1.4669999999999999
135,0,0,0,1,0,0,0,1,0,1,0,0,1.475
136,1,0,0,0,1,0,1,0,0,1,0,0,1.479
137,0,0,0,1,0,0,0,1,0,1,0,0,1.4869999999999999
138,0,0,0,0,1,0,1,0,0,1,0,0,1.4909999999999999
139,0,0,0,0,1,0,1,0,0,1,0,0,1.5019999999999998
140,1,0,0,1,0,0,0,1,0,1,0,0,1.525
141,0,0,0,1,0,0,0,1,0,1,0,0,1.5330000000000001
142,0,0,0,1,0,0,0,1,0,1,0,0,1.541
143,1,0,0,1,0,0,0,1,0,1,0,0,1.541
144,0,0,0,1,0,0,0,1,0,1,0,0,1.547
145,0,0,0,1,0,0,0,1,0,1,0,0,1.557
146,1,0,0,1,0,0,0,1,0,1,0,0,1.5630000000000002
147,0,0,0,1,0,0,0,1,0,1,0,0,1.575
148,0,0,0,1,0,0,0,1,0,0,1,0,1.5859999999999999
149,1,0,0,0,0,0,0,0,1,0,1,0,1.5919999999999999
150,0,0,0,0,0,0,0,0,1,0,1,0,1.599
151,0,0,0,0,0,0,0,0,1,0,1,0,1.607
152,1,0,0,1,0,0,0,1,0,0,1,0,1.607
153,0,0,0,1,0,0,0,1,0,0,1,0,1.6159999999999999
154,1,0,0,0,0,0,0,0,1,0,1,0,1.624
155,0,0,0,1,0,0,0,1,0,0,1,0,1.625
156,1,0,0,0,0,0,0,0,1,0,1,0,1.629
157,0,0,0,0,0,0,0,0,1,0,1,0,1.633
158,1,0,0,0,0,0,0,0,1,0,1,0,1.642
159,1,0,0,0,0,0,0,0,1,0,1,0,1.646
160,0,0,0,0,0,0,0,0,1,0,1,0,1.65
161,1,0,0,0,0,0,0,0,1,0,1,0,1.666
162,1,0,0,0,0,0,0,0,1,0,1,0,1.672
163,0,0,0,0,0,0,0,0,1,0,1,0,1.679
164,0,0,0,0,0,0,0,0,1,0,1,0,1.685
165,1,0,0,0,0,0,0,0,1,1,0,0,1.5819999999999999
166,1,0,0,1,0,0,0,1,0,0,1,0,1.598
167,1,0,0,1,0,0,0,1,0,1,0,0,1.517
168,1,0,0,1,0,0,0,1,0,1,0,0,1.5330000000000001
169,1,0,0,1,0,0,0,1,0,1,0,0,1.5519999999999998
170,1,0,0,1,0,0,0,1,0,1,0,0,1.454
171,1,0,0,0,1,0,1,0,0,1,0,0,1.4680000000000002
172,1,0,0,0,0,1,0,0,0,0,0,0,1.244
173,1,0,0,0,0,1,0,0,0,0,0,0,1.252
174,1,0,0,0,0,1,0,0,0,0,0,0,1.256
175,1,0,0,0,0,1,0,0,0,0,0,0,1.256
176,1,0,0,0,0,1,0,0,0,0,0,0,1.256
177,1,0,0,0,0,1,0,0,0,0,0,0,1.275
178,1,0,0,0,0,1,0,0,0,0,0,0,1.2770000000000001
179,1,0,0,0,0,1,0,0,0,0,0,0,1.2770000000000001
180,1,0,0,0,0,1,0,0,0,0,0,0,1.2770000000000001
181,1,0,0,0,0,1,0,0,0,0,0,0,1.28
182,1,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
183,1,0,0,0,1,0,1,0,0,0,0,0,1.345
184,1,0,0,0,0,1,0,0,0,0,0,0,1.348
185,1,0,0,0,1,0,1,0,0,0,0,0,1.354
186,1,0,0,0,1,0,1,0,0,0,0,0,1.3630000000000002
187,1,0,0,0,0,1,0,0,0,0,0,0,1.364
188,1,0,0,0,0,1,0,0,0,0,0,0,1.364
189,1,0,0,0,0,1,0,0,0,0,0,0,1.364
190,1,0,0,0,1,0,1,0,0,0,0,0,1.37
191,1,0,0,0,1,0,1,0,0,0,0,0,1.3769999999999998
192,1,0,0,0,1,0,1,0,0,0,0,0,1.382
193,1,0,0,1,0,0,0,1,0,1,0,0,1.43
194,1,0,0,0,1,0,1,0,0,1,0,0,1.443
195,1,0,0,0,1,0,1,0,0,1,0,0,1.45
196,1,0,0,0,1,0,1,0,0,1,0,0,1.4580000000000002
197,1,0,0,0,1,0,1,0,0,1,0,0,1.4880000000000002
198,1,0,0,1,0,0,0,1,0,1,0,0,1.4969999999999999
199,1,0,0,1,0,0,0,1,0,1,0,0,1.518
200,1,0,0,1,0,0,0,1,0,1,0,0,1.54
201,1,0,0,1,0,0,0,1,0,1,0,0,1.541
202,1,0,0,0,1,0,1,0,0,1,0,0,1.558
203,1,0,0,0,0,0,0,0,1,1,0,0,1.5630000000000002
204,1,0,0,1,0,0,0,1,0,0,1,0,1.5859999999999999
205,1,0,0,1,0,0,0,1,0,0,1,0,1.598
206,1,0,0,0,0,0,0,0,1,0,1,0,1.61
207,1,0,0,1,0,0,0,1,0,0,1,0,1.6159999999999999
208,1,0,0,0,0,0,0,0,1,0,1,0,1.635
209,1,0,0,1,0,0,0,1,0,0,1,0,1.6469999999999998
210,1,0,0,0,0,0,0,0,1,0,1,0,1.659
211,1,0,0,0,0,0,0,0,1,0,1,0,1.669
212,1,0,0,1,0,0,0,1,0,0,1,0,1.6880000000000002
213,1,0,0,0,0,0,0,0,1,0,1,0,1.6969999999999998
214,1,0,0,0,0,0,0,0,1,0,1,0,1.702
215,1,0,0,0,0,0,0,0,1,0,1,0,1.714
216,1,0,0,0,0,0,0,0,1,0,1,0,1.7209999999999999
217,1,0,0,0,0,0,0,0,1,0,1,0,1.7519999999999998
218,1,0,0,0,0,1,0,0,0,0,0,0,1.3130000000000002
219,1,0,0,0,0,1,0,0,0,0,0,0,1.317
220,1,0,0,0,0,1,0,0,0,0,0,0,1.32
221,1,0,0,0,0,1,0,0,0,0,0,0,1.32
222,1,0,0,0,0,1,0,0,0,0,0,0,1.32
223,1,0,0,0,0,1,0,0,0,0,0,0,1.325
224,1,0,0,0,0,1,0,0,0,0,0,0,1.3330000000000002
225,1,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
226,1,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
227,1,0,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
228,1,0,0,0,1,0,1,0,0,1,0,0,1.415
229,1,0,0,0,1,0,1,0,0,1,0,0,1.426
230,1,0,0,0,1,0,1,0,0,1,0,0,1.429
231,1,0,0,0,1,0,1,0,0,1,0,0,1.4369999999999998
232,1,0,0,0,1,0,1,0,0,1,0,0,1.44
233,1,0,0,0,1,0,1,0,0,1,0,0,1.462
234,1,0,0,1,0,0,0,1,0,1,0,0,1.52
235,1,0,0,1,0,0,0,1,0,1,0,0,1.5290000000000001
236,1,0,0,0,1,0,1,0,0,1,0,0,1.534
237,1,0,0,0,1,0,1,0,0,1,0,0,1.546
238,1,0,0,1,0,0,0,1,0,1,0,0,1.5819999999999999
239,1,0,0,1,0,0,0,1,0,0,1,0,1.59
240,1,0,0,1,0,0,0,1,0,0,1,0,1.599
241,1,0,0,1,0,0,0,1,0,0,1,0,1.605
242,1,0,0,1,0,0,0,1,0,0,1,0,1.6219999999999999
243,1,0,0,1,0,0,0,1,0,0,1,0,1.635
244,1,0,0,0,0,0,0,0,1,0,1,0,1.653
245,1,0,0,0,0,0,0,0,1,0,1,0,1.66
246,1,0,0,1,0,0,0,1,0,0,1,0,1.669
247,1,0,0,1,0,0,0,1,0,0,1,0,1.679
248,1,0,0,0,0,0,0,0,1,0,1,0,1.692
249,1,0,0,0,0,0,0,0,1,0,1,0,1.7109999999999999
250,1,0,0,0,0,0,0,0,1,0,1,0,1.739
251,1,0,0,0,0,0,0,0,1,0,1,0,1.745
252,1,0,0,0,0,0,0,0,1,0,1,0,1.6869999999999998
253,1,0,0,0,0,0,0,0,1,0,1,0,1.706
254,1,0,0,0,0,0,0,0,1,0,1,0,1.732
255,1,0,0,0,0,0,0,0,1,0,1,0,1.642
256,1,0,0,1,0,0,0,1,0,0,1,0,1.66
257,1,0,0,1,0,0,0,1,0,1,0,0,1.574
258,1,0,0,1,0,0,0,1,0,0,1,0,1.59
259,1,0,0,1,0,0,0,1,0,0,1,0,1.61
260,1,0,0,1,0,0,0,1,0,1,0,0,1.506
261,1,0,0,0,1,0,1,0,0,1,0,0,1.521
262,1,0,0,0,1,0,1,0,0,1,0,0,1.402
263,1,0,0,0,1,0,1,0,0,1,0,0,1.4080000000000001
264,1,0,0,0,1,0,1,0,0,1,0,0,1.411
265,1,0,0,0,0,1,0,0,0,0,0,0,1.296
266,1,0,0,0,0,1,0,0,0,0,0,0,1.301
267,1,0,0,0,0,1,0,0,0,0,0,0,1.298
268,1,0,0,0,0,1,0,0,0,0,0,0,1.298
269,1,0,0,0,0,1,0,0,0,0,0,0,1.298
270,1,0,0,0,0,0,0,0,1,0,1,0,1.672
271,1,0,0,0,0,0,0,0,1,0,1,0,1.699
272,1,0,0,0,0,0,0,0,1,0,1,0,1.725
273,1,0,0,0,0,0,0,0,1,0,1,0,1.6219999999999999
274,1,0,0,1,0,0,0,1,0,0,1,0,1.6469999999999998
275,1,0,0,1,0,0,0,1,0,1,0,0,1.5519999999999998
276,1,0,0,1,0,0,0,1,0,1,0,0,1.575
277,1,0,0,1,0,0,0,1,0,0,1,0,1.598
278,1,0,0,1,0,0,0,1,0,1,0,0,1.4809999999999999
279,1,0,0,0,1,0,1,0,0,1,0,0,1.5019999999999998
280,1,0,0,0,1,0,1,0,0,0,0,0,1.368
281,1,0,0,0,1,0,1,0,0,0,0,0,1.3769999999999998
282,1,0,0,0,1,0,1,0,0,0,0,0,1.386
283,1,0,0,0,0,1,0,0,0,0,0,0,1.264
284,1,0,0,0,0,1,0,0,0,0,0,0,1.272
285,1,0,0,0,0,1,0,0,0,0,0,0,1.276
286,1,0,0,0,0,1,0,0,0,0,0,0,1.276
287,1,0,0,0,0,1,0,0,0,0,0,0,1.276
288,0,1,0,0,0,0,0,0,1,0,0,1,1.77
289,0,1,0,0,0,0,0,0,1,0,0,1,1.79
290,0,1,0,0,0,0,0,0,1,0,0,1,1.824
291,0,1,0,0,0,0,0,0,1,0,1,0,1.736
292,0,1,0,1,0,0,0,1,0,0,1,0,1.756
293,0,1,0,1,0,0,0,1,0,0,1,0,1.655
294,0,1,0,1,0,0,0,1,0,0,1,0,1.6740000000000002
295,0,1,0,1,0,0,0,1,0,0,1,0,1.706
296,0,1,0,1,0,0,0,1,0,0,1,0,1.5859999999999999
297,0,1,0,0,1,0,1,0,0,0,1,0,1.595
298,0,1,0,0,1,0,1,0,0,1,0,0,1.4880000000000002
299,0,1,0,0,1,0,1,0,0,1,0,0,1.496
300,0,1,0,0,1,0,1,0,0,0,0,0,1.361
301,0,1,0,0,0,1,0,0,0,0,0,0,1.368
302,0,1,0,0,0,1,0,0,0,0,0,0,1.3869999999999998
303,0,1,0,0,0,1,0,0,0,0,0,0,1.3869999999999998
304,0,1,0,0,0,1,0,0,0,0,0,0,1.3869999999999998
305,0,1,0,0,0,0,0,0,1,0,0,1,1.788
306,0,1,0,0,0,0,0,0,1,0,0,1,1.775
307,0,1,0,0,0,0,0,0,1,0,0,1,1.795
308,0,1,0,0,0,0,0,0,1,0,1,0,1.716
309,0,1,0,0,0,0,0,0,1,0,1,0,1.734
310,0,1,0,1,0,0,0,1,0,0,0,1,1.767
311,0,1,0,1,0,0,0,1,0,0,1,0,1.653
312,0,1,0,1,0,0,0,1,0,0,1,0,1.67
313,0,1,0,1,0,0,0,1,0,1,0,0,1.57
314,0,1,0,0,1,0,1,0,0,1,0,0,1.5759999999999998
315,0,1,0,0,1,0,1,0,0,0,1,0,1.5930000000000002
316,0,1,0,0,1,0,1,0,0,1,0,0,1.4680000000000002
317,0,1,0,0,1,0,1,0,0,1,0,0,1.4769999999999999
318,0,1,0,0,1,0,1,0,0,0,0,0,1.345
319,0,1,0,0,0,1,0,0,0,0,0,0,1.35
320,0,1,0,0,0,1,0,0,0,0,0,0,1.365
321,0,1,0,0,0,1,0,0,0,0,0,0,1.365
322,0,1,0,0,0,1,0,0,0,0,0,0,1.365
323,0,1,0,0,0,0,0,0,1,0,0,1,1.8019999999999998
324,0,1,0,0,0,0,0,0,1,0,0,1,1.7719999999999998
325,0,1,0,0,0,0,0,0,1,0,0,1,1.79
326,0,1,0,0,0,0,0,0,1,0,1,0,1.7069999999999999
327,0,1,0,0,0,0,0,0,1,0,1,0,1.726
328,0,1,0,1,0,0,0,1,0,0,1,0,1.7530000000000001
329,0,1,0,1,0,0,0,1,0,0,1,0,1.646
330,0,1,0,1,0,0,0,1,0,0,1,0,1.656
331,0,1,0,1,0,0,0,1,0,1,0,0,1.558
332,0,1,0,0,1,0,1,0,0,1,0,0,1.5659999999999998
333,0,1,0,0,1,0,1,0,0,1,0,0,1.575
334,0,1,0,0,1,0,1,0,0,1,0,0,1.454
335,0,1,0,0,1,0,1,0,0,1,0,0,1.4580000000000002
336,0,1,0,0,1,0,1,0,0,0,0,0,1.33
337,0,1,0,0,0,1,0,0,0,0,0,0,1.337
338,0,1,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
339,0,1,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
340,0,1,0,0,0,1,0,0,0,0,0,0,1.3419999999999999
341,0,1,0,0,0,0,0,0,1,0,0,1,1.817
342,0,1,0,0,0,0,0,0,1,0,1,0,1.765
343,0,1,0,0,0,0,0,0,1,0,0,1,1.785
344,0,1,0,0,0,0,0,0,1,0,1,0,1.6969999999999998
345,0,1,0,0,0,0,0,0,1,0,1,0,1.716
346,0,1,0,1,0,0,0,1,0,0,1,0,1.739
347,0,1,0,1,0,0,0,1,0,0,1,0,1.633
348,0,1,0,1,0,0,0,1,0,0,1,0,1.642
349,0,1,0,1,0,0,0,1,0,1,0,0,1.545
350,0,1,0,0,1,0,1,0,0,1,0,0,1.5530000000000002
351,0,1,0,0,1,0,1,0,0,1,0,0,1.558
352,0,1,0,0,1,0,1,0,0,1,0,0,1.433
353,0,1,0,0,1,0,1,0,0,1,0,0,1.44
354,0,1,0,0,1,0,1,0,0,0,0,0,1.314
355,0,1,0,0,0,1,0,0,0,0,0,0,1.32
356,0,1,0,0,0,1,0,0,0,0,0,0,1.32
357,0,1,0,0,0,1,0,0,0,0,0,0,1.32
358,0,1,0,0,0,1,0,0,0,0,0,0,1.32
359,0,1,0,0,0,0,0,0,1,0,0,1,1.831
360,0,1,0,0,0,0,0,0,1,0,1,0,1.7530000000000001
361,0,1,0,0,0,0,0,0,1,0,0,1,1.781
362,0,1,0,0,0,0,0,0,1,0,1,0,1.672
363,0,1,0,0,0,0,0,0,1,0,1,0,1.699
364,0,1,0,1,0,0,0,1,0,0,1,0,1.725
365,0,1,0,1,0,0,0,1,0,0,1,0,1.61
366,0,1,0,1,0,0,0,1,0,0,1,0,1.6219999999999999
367,0,1,0,1,0,0,0,1,0,1,0,0,1.518
368,0,1,0,0,1,0,1,0,0,1,0,0,1.5290000000000001
369,0,1,0,0,1,0,1,0,0,1,0,0,1.54
370,0,1,0,0,1,0,1,0,0,0,0,0,1.396
371,0,1,0,0,1,0,1,0,0,1,0,0,1.405
372,0,1,0,0,1,0,1,0,0,0,0,0,1.28
373,0,1,0,0,0,1,0,0,0,0,0,0,1.2890000000000001
374,0,1,0,0,0,1,0,0,0,0,0,0,1.297
375,0,1,0,0,0,1,0,0,0,0,0,0,1.297
376,0,1,0,0,0,1,0,0,0,0,0,0,1.297
377,0,1,0,0,0,0,0,0,1,0,0,1,1.8459999999999999
378,0,1,0,0,0,0,0,0,1,0,0,1,1.848
379,0,1,0,0,0,0,0,0,1,0,0,1,1.87
380,0,1,0,0,0,0,0,0,1,0,0,1,1.785
381,0,1,0,0,0,0,0,0,1,0,0,1,1.795
382,0,1,0,1,0,0,0,1,0,0,0,1,1.817
383,0,1,0,1,0,0,0,1,0,0,1,0,1.716
384,0,1,0,1,0,0,0,1,0,0,1,0,1.726
385,0,1,0,1,0,0,0,1,0,0,1,0,1.6159999999999999
386,0,1,0,0,1,0,1,0,0,0,1,0,1.6340000000000001
387,0,1,0,0,1,0,1,0,0,0,1,0,1.6669999999999998
388,0,1,0,0,1,0,1,0,0,1,0,0,1.518
389,0,1,0,0,1,0,1,0,0,1,0,0,1.527
390,0,1,0,0,1,0,1,0,0,0,0,0,1.3880000000000001
391,0,1,0,0,0,1,0,0,0,1,0,0,1.402
392,0,1,0,0,0,1,0,0,0,1,0,0,1.432
393,0,1,0,0,0,1,0,0,0,1,0,0,1.432
394,0,1,0,0,0,1,0,0,0,1,0,0,1.432
395,0,1,0,0,0,0,0,0,1,0,0,1,1.8619999999999999
396,0,1,0,0,0,0,0,0,1,0,0,1,1.84
397,0,1,0,0,0,0,0,0,1,0,0,1,1.859
398,0,1,0,0,0,0,0,0,1,0,0,1,1.775
399,0,1,0,0,0,0,0,0,1,0,0,1,1.7830000000000001
400,0,1,0,1,0,0,0,1,0,0,0,1,1.8019999999999998
401,0,1,0,1,0,0,0,1,0,0,1,0,1.704
402,0,1,0,1,0,0,0,1,0,0,1,0,1.716
403,0,1,0,1,0,0,0,1,0,0,1,0,1.604
404,0,1,0,0,1,0,1,0,0,0,1,0,1.617
405,0,1,0,0,1,0,1,0,0,0,1,0,1.643
406,0,1,0,0,1,0,1,0,0,1,0,0,1.5
407,0,1,0,0,1,0,1,0,0,1,0,0,1.511
408,0,1,0,0,1,0,1,0,0,0,0,0,1.3719999999999999
409,0,1,0,0,0,1,0,0,0,0,0,0,1.381
410,0,1,0,0,0,1,0,0,0,1,0,0,1.403
411,0,1,0,0,0,1,0,0,0,1,0,0,1.403
412,0,1,0,0,0,1,0,0,0,1,0,0,1.403
413,0,0,1,0,0,0,0,0,1,0,0,1,1.8769999999999998
414,0,0,1,0,0,0,0,0,1,0,0,1,1.8359999999999999
415,0,0,1,0,0,0,0,0,1,0,0,1,1.848
416,0,0,1,0,0,0,0,0,1,0,1,0,1.765
417,0,0,1,0,0,0,0,0,1,0,0,1,1.775
418,0,0,1,1,0,0,0,1,0,0,0,1,1.788
419,0,0,1,1,0,0,0,1,0,0,1,0,1.693
420,0,0,1,1,0,0,0,1,0,0,1,0,1.7069999999999999
421,0,0,1,1,0,0,0,1,0,0,1,0,1.591
422,0,0,1,0,1,0,1,0,0,0,1,0,1.6030000000000002
423,0,0,1,0,1,0,1,0,0,0,1,0,1.618
424,0,0,1,0,1,0,1,0,0,1,0,0,1.485
425,0,0,1,0,1,0,1,0,0,1,0,0,1.495
426,0,0,1,0,1,0,1,0,0,0,0,0,1.3559999999999999
427,0,0,1,0,0,1,0,0,0,0,0,0,1.365
428,0,0,1,0,0,1,0,0,0,0,0,0,1.375
429,0,0,1,0,0,1,0,0,0,0,0,0,1.375
430,0,0,1,0,0,1,0,0,0,0,0,0,1.375
431,0,0,1,0,0,0,0,0,1,0,0,1,1.893
432,0,0,1,0,0,0,0,0,1,0,0,1,1.827
433,0,0,1,0,0,0,0,0,1,0,0,1,1.837
434,0,0,1,0,0,0,0,0,1,0,1,0,1.755
435,0,0,1,0,0,0,0,0,1,0,1,0,1.765
436,0,0,1,1,0,0,0,1,0,0,0,1,1.7730000000000001
437,0,0,1,1,0,0,0,1,0,0,1,0,1.679
438,0,0,1,1,0,0,0,1,0,0,1,0,1.6969999999999998
439,0,0,1,1,0,0,0,1,0,1,0,0,1.578
440,0,0,1,0,1,0,1,0,0,0,1,0,1.587
